;Razón Social;Marca;Importe;Fecha;Provincia;CCAA;CIF;Axesor URL;Dirección;Constitución;CNAE;SIC
3404;VITESIA MOBILE SOLUTIONS, S.L.L.;VITESIA MOBILE SOLUTIONS, SLL;65.000,00 €;27/12/2012;Asturias;Asturias, Principado de;B52501392;;;;;
3405;NESSMEETING, S.L.;NESSMEETING;25.000,00 €;27/12/2012;Asturias;Asturias, Principado de;B74313107;;;;;
3406;YAS INVERSIONES DEPORTIVAS, S.L.;YAS INVERSIONES DEPORTIVAS, SL;66.000,00 €;03/12/2013;Asturias;Asturias, Principado de;B74314535;;;;;
3407;PRODICEX SOLUTIONS, S.L.;PRODICEX SOLUTIONS, SL;30.000,00 €;14/11/2013;Asturias;Asturias, Principado de;B74335845;;;;;
3408;PIGMENT BLUE 29, S.L.;PIGMENT BLUE 29, SL;40.000,00 €;03/12/2013;Asturias;Asturias, Principado de;B74330846;;;;;
3409;TRENDLEARNING, S.L.;TRENDLEARNING, SL;50.000,00 €;05/12/2013;Asturias;Asturias, Principado de;B52500055;;;;;
3410;ROBO PHYSIO TREATMENTS, S.L.;ROBO PHYSIO TREATMENTS;65.000,00 €;27/11/2013;Asturias;Asturias, Principado de;B74344102;;;;;
3411;ROBO PHYSIO TREATMENTS, S.L.;ROBO PHYSIO TREATMENTS;65.000,00 €;27/11/2013;Asturias;Asturias, Principado de;B74344102;;;;;
3412;WALDEN MEDICAL, S.L.;WALDEN MEDICAL, SL;50.000,00 €;20/12/2013;Asturias;Asturias, Principado de;B74350257;;;;;
3413;LUDO STUDIOS, S.L.;LUDO STUDIOS;60.000,00 €;16/01/2014;Asturias;Asturias, Principado de;B95680088;;;;;
3414;GTS BUS & TRUCK FORMATION;GTS BUS & TRUCK FORMATION;30.000,00 €;05/03/2014;Asturias;Asturias, Principado de;;;;;;
3415;TRIARI LABS, S.L.;TRIARI LABS, SL;60.000,00 €;06/03/2014;Asturias;Asturias, Principado de;B74352881;;;;;
3416;DIAGNOSTRUM IT HEALTH SERVICES, S.L.;Diagnostrum;60.000,00 €;23/10/2014;Asturias;Asturias, Principado de;B74330309;;;;;
3417;WHOOTGAMES, S.L.;WhootGames;50.000,00 €;11/12/2014;Asturias;Asturias, Principado de;B52515442;;;;;
3418;NUEVO SENTIDO TECNOLÓGICO REALIDAD AUMENTADA, S.L.;NeoSenTec;60.000,00 €;03/11/2015;Asturias;Asturias, Principado de;;;;;;
3419;NUBERU GAMES, S.L.;Nuberu Games;50.000,00 €;03/12/2015;Asturias;Asturias, Principado de;B52527801;;;;;
3420;KIWI MARKETING, S.L.U.;Presupuestos.com;75.000,00 €;20/09/2016;Asturias;Asturias, Principado de;;;;;;
3421;AZISA DRONE COMPANY, S.L.;AZISA DRONE COMPANY;40.000,00 €;01/12/2017;Asturias;Asturias, Principado de;B52544715;;;;;
3422;DISPAL ASTUR, S.A.;DISPAL ASTUR S.A;100.000,00 €;10/04/2014;Asturias;Asturias, Principado de;A33204306;;;;;
3423;CRIOGENIZADOS GREENVALLEY, S.L.;GREENVALLEY;100.000,00 €;06/05/2009;Cantabria;Cantabria;B39655923;;;;;
3424;SOFTEC INTERNET, S.L.;REGISTER;500.000,00 €;01/04/2011;Cantabria;Cantabria;B39492566;;;;;
3425;SOFTEC INTERNET, S.L.;REGISTER;500.000,00 €;01/04/2011;Cantabria;Cantabria;B39492566;;;;;
3426;WEDGE GLOBAL, S.L.;WEDGE GLOBAL;450.000,00 €;19/12/2012;Palmas, Las;Canarias;B39679329;;;;;
3427;WEDGE GLOBAL, S.L.;WEDGE GLOBAL;450.000,00 €;19/12/2012;Palmas, Las;Canarias;B39679329;;;;;
3428;GLOBAL WOLDER GROUP, S.L.;WOLDER ELECTRONICS;500.000,00 €;03/03/2015;Cantabria;Cantabria;B39504212;;;;;
3429;CELESTIA, S.L.U.;CELESTIA;300.000,00 €;21/07/2015;Cantabria;Cantabria;;;;;;
3430;GENETRACER BIOTECH, S.L.;GENETRACER;150.000,00 €;05/05/2016;Cantabria;Cantabria;B39758370;;;;;
3431;SONRIONANSA, S.L.;SONRIONANSA;300.000,00 €;22/12/2017;Cantabria;Cantabria;B39842620;;;;;
3432;VITRISPAN, S.A.;VITRISPAN;500.000,00 €;24/07/2006;Cantabria;Cantabria;A39607882;;;;;
3433;INDUSTRIAL BLANSOL, S.A.;INDUSTRIAL BLANSOL;1.000.000,00 €;19/07/2007;Cantabria;Cantabria;A08244402;;;;;
3434;VEGAPELAYO, S.L.;VEGAPELAYO;150.000,00 €;04/09/2009;Cantabria;Cantabria;;;;;;
3435;4IKIM COLLABORATION, S.L.;4IKIM;200.000,00 €;22/12/2010;Cantabria;Cantabria;B39723622;;;;;
3436;SAYME MONITORIZACIÓN ESTRUCTURAL, S.L.;SAYME;100.000,00 €;30/03/2011;Cantabria;Cantabria;;;;;;
3437;GLOBAL METWIRE INJECTION, S.L.;GLOBAL METWIRE INJECTION;300.000,00 €;05/03/2013;Cantabria;Cantabria;B39737176;;;;;
3438;WEDGE GLOBAL, S.L.;WEDGE GLOBAL;200.000,00 €;28/04/2010;Palmas, Las;Canarias;B39679329;;;;;
3439;WEDGE GLOBAL, S.L.;WEDGE GLOBAL;200.000,00 €;28/04/2010;Palmas, Las;Canarias;B39679329;;;;;
3440;IVITALIA HEALTH, S.L.;iVitalia;75.000,00 €;16/12/2014;Cantabria;Cantabria;B39783915;;;;;
3441;CIRCLE SYSTEMS, S.L.U.;Circle Systems;35.000,00 €;15/12/2015;Cantabria;Cantabria;;;;;;
3442;SMART SENSOR TECHNOLOGY, S.L.;Smart Sensor Technology;50.000,00 €;01/03/2016;Cantabria;Cantabria;B39714993;;;;;
3443;CIFRA EDUCACIÓN, S.L.;CIFRA;75.000,00 €;13/10/2016;Cantabria;Cantabria;;;;;;
3444;STEMVITAL, S.L.;StemVital;75.000,00 €;12/01/2017;Cantabria;Cantabria;B39820584;;;;;
3445;INNOVACION ESTETICA Y SALUD, S.L.;INNOVACION ESTETICA;42.500,00 €;09/09/2010;Cantabria;Cantabria;B39728043;;;;;
3446;BETULA INGENIERIA MEDIOAMBIENTAL, S.L.;BETULA INGENIERIA MEDIOAMBIENTAL, SL;25.000,00 €;14/07/2011;Cantabria;Cantabria;B39735337;;;;;
3447;MIEBAR, S.L.L.;MIEBAR, SLL;25.000,00 €;28/07/2011;Cantabria;Cantabria;B39747142;;;;;
3448;COMERCIAL DEL ACERO INOXIDABLE IGOLLO, S.L.;COMERCIAL DEL ACERO INOXIDABLE IGOLLO, SL;25.000,00 €;27/11/2012;Cantabria;Cantabria;B39742648;;;;;
3449;ALMACENES QUE CUCO, S.L.;ALMACENES QUE CUCO, SL;50.000,00 €;27/11/2012;Cantabria;Cantabria;B39749478;;;;;
3450;CLUB PARAFARMACIA ONLINE, S.L.;CLUB PARAFARMACIA ONLINE, SL;75.000,00 €;04/12/2012;Cantabria;Cantabria;B39757463;;;;;
3451;CLOUD COMPUTING CANTABRIA, S.L.;CLOUD COMPUTING CANTABRIA;30.000,00 €;22/03/2013;Cantabria;Cantabria;B39749064;;;;;
3452;CANDESTEVIA, S.L.;CANDESTEVIA, SL;65.000,00 €;14/02/2013;Cantabria;Cantabria;B39764410;;;;;
3453;BOK INNOVA, S.L.L.;BOK INNOVA, SLL;55.000,00 €;26/11/2013;Cantabria;Cantabria;B39774658;;;;;
3454;NAOTECH SOLUTIONS, S.L.;NAOTECH SOLUTIONS, SL;70.000,00 €;13/12/2013;Cantabria;Cantabria;B39765052;;;;;
3455;YIPI YIPI, S.L.;YIPI YIPI, SL;50.000,00 €;03/12/2013;Cantabria;Cantabria;B39771241;;;;;
3456;VIACOREIT, S.L.;VIACOREIT;50.000,00 €;03/12/2013;Cantabria;Cantabria;;;;;;
3457;BERTEN DSP, S.L.;BERTEN;40.000,00 €;07/07/2015;Cantabria;Cantabria;B39807912;;;;;
3458;MARTIUS XV, S.L.;Cerveza;60.000,00 €;17/09/2015;Cantabria;Cantabria;B39816780;;;;;
3459;EOLAS PRINTS, S.L.;eolas;45.000,00 €;06/10/2016;Cantabria;Cantabria;B39813605;;;;;
3460;SANTANDER FOOD TRADING, S.L.;ALALUNGA;25.000,00 €;24/11/2016;Cantabria;Cantabria;B39820766;;;;;
3461;CONCANO GAMES, S.L.;Concano Games;35.000,00 €;04/07/2017;Cantabria;Cantabria;B39812227;;;;;
3462;VIACOREIT, S.L.;VIACOREIT;35.000,00 €;22/12/2015;Cantabria;Cantabria;;;;;;
3463;TINAMENOR, S.A.;TINAMENOR;601.012,00 €;29/12/1997;Cantabria;Cantabria;A28382588;;;;;
3464;TRASLATIONAL CANCER DRUGS PHARMA, S.L.;TCD PHARMA;350.000,00 €;10/10/2007;Valladolid;Castilla y León;B84426279;;;;;
3465;CÓDICE SOFTWARE, S.L.;CODICE SOFTWARE;150.000,00 €;22/12/2010;Valladolid;Castilla y León;;;;;;
3466;INSTITUTO BIOMAR, S.A.;Biomar Microbial Technologies;300.000,00 €;16/02/2011;León;Castilla y León;A24330292;;;;;
3467;ONYX SOLAR ENERGY, S.L.;ONYX SOLAR;300.000,00 €;10/11/2011;Ávila;Castilla y León;B05220553;;;;;
3468;ONYX SOLAR ENERGY, S.L.;ONYX SOLAR;300.000,00 €;10/11/2011;Ávila;Castilla y León;B05220553;;;;;
3469;ONYX SOLAR ENERGY, S.L.;ONYX SOLAR;300.000,00 €;10/11/2011;Ávila;Castilla y León;B05220553;;;;;
3470;CUANTUM SOLAR, S.L.;CUANTUM SOLAR;400.000,00 €;23/12/2011;Burgos;Castilla y León;B09443490;;;;;
3471;BIOFACTORÍA NATURAE ET SALUS, S.A.;BIOFACTORÍA NATURAE ET SALUS;200.000,00 €;21/11/2012;Valladolid;Castilla y León;;;;;;
3472;POST PERSONAS OBJETIVOS STRATEGIAS TECNOLOGIAS, S.A.;POST PERSONAS OBJETIVOS;200.000,00 €;05/12/2012;Valladolid;Castilla y León;A24614893;;;;;
3473;GH GENHELIX, S.A.;GH GENHELIX;300.000,00 €;23/10/2013;León;Castilla y León;A24538902;;;;;
3474;SMART OUTSOURCING, S.L.;SMART OUTSOURCING;150.000,00 €;25/11/2013;Salamanca;Castilla y León;B37470911;;;;;
3475;TORO VEHICULOS ESPECIALES Y SISTEMAS, S.L.;TORO VEHICULOS ESPECIALES Y SISTEMAS SL;150.000,00 €;03/12/2013;Segovia;Castilla y León;B40246662;;;;;
3476;AQUILON CYL., S.L.;AQUILON CYL;250.000,00 €;09/12/2013;León;Castilla y León;B24635286;;;;;
3477;IMMUNOSTEP, S.L.;IMMUNOSTEP;150.000,00 €;21/09/2005;Salamanca;Castilla y León;B37373784;;;;;
3478;IMMUNOSTEP, S.L.;IMMUNOSTEP;150.000,00 €;21/09/2005;Salamanca;Castilla y León;B37373784;;;;;
3479;IMMUNOSTEP, S.L.;IMMUNOSTEP;150.000,00 €;21/09/2005;Salamanca;Castilla y León;B37373784;;;;;
3480;PREFABRICADOS TÉCNICOS DE TUBERÍA, S.L.;PTT;600.000,00 €;09/10/2006;Segovia;Castilla y León;;;;;;
3481;INGENIERÍA Y SISTEMAS DE ENSAYOS NO DESTRUCTIVOS, S.A.;ISEND;250.000,00 €;10/09/2008;Valladolid;Castilla y León;;;;;;
3482;IMMUNOSTEP, S.L.;IMMUNOSTEP;100.000,00 €;01/02/2012;Salamanca;Castilla y León;B37373784;;;;;
3483;IMMUNOSTEP, S.L.;IMMUNOSTEP;100.000,00 €;01/02/2012;Salamanca;Castilla y León;B37373784;;;;;
3484;IMMUNOSTEP, S.L.;IMMUNOSTEP;100.000,00 €;01/02/2012;Salamanca;Castilla y León;B37373784;;;;;
3485;INGENIERÍA Y SISTEMAS DE ENSAYOS NO DESTRUCTIVOS, S.A.;ISEND;300.000,00 €;24/10/2012;Valladolid;Castilla y León;;;;;;
3486;ONYX SOLAR ENERGY, S.L.;ONYX SOLAR;250.000,00 €;14/03/2013;Ávila;Castilla y León;B05220553;;;;;
3487;ONYX SOLAR ENERGY, S.L.;ONYX SOLAR;250.000,00 €;14/03/2013;Ávila;Castilla y León;B05220553;;;;;
3488;ONYX SOLAR ENERGY, S.L.;ONYX SOLAR;250.000,00 €;14/03/2013;Ávila;Castilla y León;B05220553;;;;;
3489;ADVANCED MARKER DISCOVERY, S.L.;ADVANCED MARKER DISCOVERY;300.000,00 €;07/03/2014;Valladolid;Castilla y León;B47665294;;;;;
3490;ADVANCED MARKER DISCOVERY, S.L.;ADVANCED MARKER DISCOVERY;300.000,00 €;07/03/2014;Valladolid;Castilla y León;B47665294;;;;;
3491;IMMUNOSTEP, S.L.;IMMUNOSTEP;200.000,00 €;09/10/2014;Salamanca;Castilla y León;B37373784;;;;;
3492;IMMUNOSTEP, S.L.;IMMUNOSTEP;200.000,00 €;09/10/2014;Salamanca;Castilla y León;B37373784;;;;;
3493;IMMUNOSTEP, S.L.;IMMUNOSTEP;200.000,00 €;09/10/2014;Salamanca;Castilla y León;B37373784;;;;;
3494;BIODATA DEVICES, S.L.;Biodata Devices;155.000,00 €;17/03/2016;Valladolid;Castilla y León;B47728456;;;;;
3495;RAMAN HEALTH TECHNOLOGIES, S.L.;RAMAN HEALTH TECHNOLOGIES, SL;200.000,00 €;12/12/2017;Valladolid;Castilla y León;B47705058;;;;;
3496;SOLUCIONES INFORMÁTICAS GLOBALES, S.L.;Soluciones Informáticas Globales;150.000,00 €;16/01/2018;Segovia;Castilla y León;;;;;;
3497;ILUSA MEDIA, S.L.;ILUSA MEDIA;150.000,00 €;01/07/2010;Valladolid;Castilla y León;B47483490;;;;;
3498;PREFABRICADOS TÉCNICOS DE TUBERÍA, S.L.;PTT;600.000,00 €;07/10/2010;Segovia;Castilla y León;;;;;;
3499;MECÁNICAS DE PRECISIÓN BOECILLO AEROSPACE, S.L.;MPB AEROSPACE;600.000,00 €;20/10/2010;Valladolid;Castilla y León;;;;;;
3500;STINSER SUMINISTROS INTEGRALES DEL ACERO, S.L.;STINSER;300.000,00 €;15/12/2010;Burgos;Castilla y León;B01463660;;;;;
3501;STINSER SUMINISTROS INTEGRALES DEL ACERO, S.L.;STINSER;300.000,00 €;15/12/2010;Burgos;Castilla y León;B01463660;;;;;
3502;IBETOR, S.L.;IBETOR;600.000,00 €;11/05/2011;Valladolid;Castilla y León;B85682748;;;;;
3503;BAWER TECHNOLOGY, S.L.;BAWER;150.000,00 €;16/11/2011;León;Castilla y León;B24526394;;;;;
3504;MINIMIS GOURMET, S.L.;MINIMIS GOURMET;200.000,00 €;18/01/2012;León;Castilla y León;B24629099;;;;;
3505;STINSER SUMINISTROS INTEGRALES DEL ACERO, S.L.;STINSER;250.000,00 €;12/09/2012;Burgos;Castilla y León;B01463660;;;;;
3506;STINSER SUMINISTROS INTEGRALES DEL ACERO, S.L.;STINSER;250.000,00 €;12/09/2012;Burgos;Castilla y León;B01463660;;;;;
3507;COMPAÑÍA REFINERA DE ALUMINIO, S.A.;COMPAÑÍA REFINERA DE ALUMINIO (COREAL);300.000,00 €;28/09/2012;León;Castilla y León;;;;;;
3508;ARANDA COATED SOLUTIONS, S.L.;ARANDA COATED SOLUTIONS;1.200.000,00 €;19/11/2012;Burgos;Castilla y León;B85008712;;;;;
3509;INDUSTRIAS SAN CAYETANO, S.L.;INDUSTRIAS SAN CAYETANO;900.000,00 €;16/01/2013;Valladolid;Castilla y León;B47034939;;;;;
3510;INDUSTRIAS CÁRNICAS CASTELLANAS, S.A.;INDUSTRIAS CÁRNICAS CASTELLANAS;800.000,00 €;23/01/2013;Burgos;Castilla y León;;;;;;
3511;BIO-AÑA PRODUCTOS ECOLOGICOS, S.L.U.;BIO-AÑA PRODUCTOS ECOLOGICOS;125.000,00 €;25/01/2013;Soria;Castilla y León;;;;;;
3512;RECICLADOS SOSTENIBLES, S.L.;RECICLADOS SOSTENIBLES;250.000,00 €;18/10/2013;Valladolid;Castilla y León;B47635438;;;;;
3513;ANDOWINES, S.L.;ANDOWINES;150.000,00 €;23/10/2013;Segovia;Castilla y León;B40230294;;;;;
3514;ANDOWINES, S.L.;ANDOWINES;150.000,00 €;23/10/2013;Segovia;Castilla y León;B40230294;;;;;
3515;AVICOLA VELASCO, S.L.;AVICOLA VELASCO, S.L;600.000,00 €;30/10/2013;Segovia;Castilla y León;B79460663;;;;;
3516;REPLAY BALLS EUROPE, S.L.;REPLAY BALLS EUROPE;450.000,00 €;04/11/2013;Soria;Castilla y León;B84330281;;;;;
3517;AUTOMATISMOS Y MONTAJES INDUSTRIALES J. MARTIN;AUTOMATISMOS Y MONTAJES INDUSTRIALES J. MARTIN;200.000,00 €;17/02/2014;Valladolid;Castilla y León;;;;;;
3518;MS ENERTECH, S.L.;MS Enertech;100.000,00 €;06/11/2014;Burgos;Castilla y León;B09464371;;;;;
3519;TELCOMEDIA, S.L.;TELCOMEDIA, SL;100.000,00 €;13/11/2014;Valladolid;Castilla y León;B47633227;;;;;
3520;XNOWMATE GROUP, S.L.;Xnowmate;80.000,00 €;14/11/2014;Madrid;Madrid, Comunidad de;B34213769;;;;;
3521;BLANCOSIL CONSULTING, S.A.;BLANCOSIL;100.000,00 €;04/12/2014;Asturias;Asturias, Principado de;A24546848;;;;;
3522;APPFUTURE DIGITAL, S.L.;TRAVELGAYS;30.000,00 €;21/07/2015;Burgos;Castilla y León;B09541475;;;;;
3523;AGRONET SERVICIOS LOGISTICOS, S.L.;AGRONET;100.000,00 €;23/07/2015;León;Castilla y León;B24406787;;;;;
3524;LOSAN SOLID WOOD SA UNIPERSONAL, S.A.;LOSAN WOOD;300.000,00 €;23/07/2015;Soria;Castilla y León;;;;;;
3525;EFICIENTIS SOLUCIONES, S.L.;XTRESIA;25.000,00 €;03/09/2015;León;Castilla y León;B24499337;;;;;
3526;PIZZAS ARTESANAS VILLALBILLA, S.L.;PIZZAS ARTESANAS VILLALBILLA;300.000,00 €;05/11/2015;Burgos;Castilla y León;B09436254;;;;;
3527;PLANETUS, S.L.;PlanetUs;100.000,00 €;10/12/2015;Valladolid;Castilla y León;B87115119;;;;;
3528;LOSAN SOLID WOOD SA UNIPERSONAL, S.A.;LOSAN WOOD;700.000,00 €;04/02/2016;Soria;Castilla y León;;;;;;
3529;BODEGA Y VIÑEDOS MARTIN BERDUGO, S.L.;BODEGA MARTIN BERDUGO;300.000,00 €;16/06/2016;Burgos;Castilla y León;;;;;;
3530;DEER FARMERS GROUP, S.L.U.;Venison;50.000,00 €;07/07/2016;Segovia;Castilla y León;;;;;;
3531;CIUDADEA, S.L.;Wayook.es;230.000,00 €;07/07/2016;Salamanca;Castilla y León;B37531662;;;;;
3532;KEPLER, SL INGENIERIA Y ECOGESTION;KEPLER;250.000,00 €;22/11/2016;Burgos;Castilla y León;;;;;;
3533;ILLA-PASTOR, S.L.;MÀQUINA TABLA;75.000,00 €;14/12/2016;Valladolid;Castilla y León;B47709647;;;;;
3534;ILLA-PASTOR, S.L.;MÀQUINA TABLA;75.000,00 €;14/12/2016;Valladolid;Castilla y León;B47709647;;;;;
3535;ROAMS TIC, S.L.;Roams;100.000,00 €;16/12/2016;Palencia;Castilla y León;B34263582;;;;;
3536;ROAMS TIC, S.L.;Roams;100.000,00 €;16/12/2016;Palencia;Castilla y León;B34263582;;;;;
3537;SMARKIA ENERGY, S.L.;SMARKIA ENERGY;450.000,00 €;21/12/2016;León;Castilla y León;B24631863;;;;;
3538;VOXEL 3D, S.L.U.;Voxel 3D;40.000,00 €;02/02/2017;Valladolid;Castilla y León;;;;;;
3539;FICOSTERRA, S.L.;FICOSTERRA;50.000,00 €;06/04/2017;Burgos;Castilla y León;B87567772;;;;;
3540;MYTRIPLEA FINANCIACION PFP, S.L.;TUTRIPLEA FINANCE PFP (antigua TUTRIPLEA FINANCE, ;100.000,00 €;15/06/2017;Soria;Castilla y León;B42206037;;;;;
3541;MYTRIPLEA FINANCIACION PFP, S.L.;TUTRIPLEA FINANCE PFP (antigua TUTRIPLEA FINANCE, ;100.000,00 €;15/06/2017;Soria;Castilla y León;B42206037;;;;;
3542;AQUADATA, S.L.;Clic & Fish;50.000,00 €;14/09/2017;León;Castilla y León;B24655037;;;;;
3543;AEDI INGENIEROS, S.L.;AEDI INGENIEROS SL;150.000,00 €;21/12/2017;Valladolid;Castilla y León;B47689864;;;;;
3544;NEBUSENS, S.L.;NEBUSENS;50.000,00 €;25/05/2010;Salamanca;Castilla y León;B37493202;;;;;
3545;TÉCNICOS ASOCIADOS PARA EL DESARROLLO Y LA COOPERACIÓN, S.L.;TÉCNICOS ASOCIADOS;50.000,00 €;17/06/2010;Valladolid;Castilla y León;;;;;;
3546;QUDOS FACTORY, S.L.;QUDOS;46.600,00 €;30/09/2010;Segovia;Castilla y León;B40239410;;;;;
3547;ELEVART SOLUCIONES DE ACCESIBILIDAD Y ELEVACION, S.L.;ELEVART;35.000,00 €;25/11/2010;Burgos;Castilla y León;B09511643;;;;;
3548;LEDLAUDE, S.L.;LEDLAUDE;39.000,00 €;02/12/2010;Valladolid;Castilla y León;B24607111;;;;;
3549;INSTITUTO EUROPEO DE EDUCACIÓN SUPERIOR AUCAL, S.L.;AUCAL;30.000,00 €;02/12/2010;Zamora;Castilla y León;;;;;;
3550;TECNICA CARPINTERIA ZAMORANA, S.L.;TECNICA CARPINTERIA;33.874,00 €;23/12/2010;Zamora;Castilla y León;B49256514;;;;;
3551;OFERFARMA, S.L.U.;OFERFARMA;32.320,00 €;17/02/2011;León;Castilla y León;;;;;;
3552;ANIMATION IS KOOL, S.L.;ANIMATION IS KOOL, SL;38.000,00 €;30/09/2011;Segovia;Castilla y León;B40243867;;;;;
3553;PAULOTA, S.L.;PAULOTA, SL;50.000,00 €;27/10/2011;Burgos;Castilla y León;B09528043;;;;;
3554;8 HORAS DE DESCANSO, S.L.;8 HORAS DE DESCANSO, SL;50.000,00 €;17/11/2011;Burgos;Castilla y León;;;;;;
3555;ECOALIMENTARIA GANADERA, S.L.N.E.;ECOALIMENTARIA GANADERA, SLNE (PASCUAL HERRANZ);50.000,00 €;01/12/2011;Valladolid;Castilla y León;B47681960;;;;;
3556;YOSOY TECHNOLOGY, S.L.;YOSOY TECHNOLOGY, SL;50.000,00 €;22/12/2011;León;Castilla y León;B24631145;;;;;
3557;ANNEHAN GARMA, S.L.;ANNEHAN GARMA, SL;20.000,00 €;29/12/2011;Valladolid;Castilla y León;B47686548;;;;;
3558;EMPRENDENEXT, S.L.;EMPRENDENEXT, SL;20.000,00 €;20/01/2012;Valladolid;Castilla y León;B47686894;;;;;
3559;AMS MODELISMO FERROVIARIO, S.L.;AMS Modelismo Ferroviario SL;50.000,00 €;20/11/2012;Valladolid;Castilla y León;B47692694;;;;;
3560;BODEGAS SANZ MUÑOZ, S.L.;BODEGAS SANZ MUÑOZ, SL;40.000,00 €;27/11/2012;Valladolid;Castilla y León;;;;;;
3561;INICIATIVA MERCURIO, S.L.;INICIATIVA MERCURIO, SL;75.000,00 €;09/10/2012;Valladolid;Castilla y León;B47669577;;;;;
3562;FIVE FLAMES MOBILE, S.L.L.;FIVE FLAMES MOBILE, SLL;70.000,00 €;04/12/2012;Valladolid;Castilla y León;B47692363;;;;;
3563;AC-GEN READING LIFE, S.L.;AC-GEN READING LIFE;75.000,00 €;14/02/2013;Valladolid;Castilla y León;;;;;;
3564;DATASALT SYSTEMS, S.L.;DATASALT SYSTEMS, SL;75.000,00 €;18/12/2012;Segovia;Castilla y León;B65598542;;;;;
3565;ELMS 2.0;ELMS 2.0;60.000,00 €;17/01/2013;Valladolid;Castilla y León;;;;;;
3566;SIVARIT TECS, S.L.;SIVARIT TECS, SL;70.000,00 €;14/03/2013;Burgos;Castilla y León;B09540295;;;;;
3567;TROJAOLA & LISTE, S.L.;TROJAOLA & LISTE, SL;40.000,00 €;20/12/2013;León;Castilla y León;;;;;;
3568;BEONPRICE, S.L.;BEONPRICE, SL;65.000,00 €;03/12/2013;Salamanca;Castilla y León;B37517844;;;;;
3569;BEONPRICE, S.L.;BEONPRICE, SL;65.000,00 €;03/12/2013;Salamanca;Castilla y León;B37517844;;;;;
3570;STOCKFRIO MAQUINARIA DE HOSTELERIA, S.L.;STOCKFRIO MAQUINARIA DE HOSTELERIA, SL;40.000,00 €;26/11/2013;León;Castilla y León;B86621356;;;;;
3571;ARTES GRÁFICAS LIBRALIA, S.L.;ARTES GRÁFICAS LIBRALIA;50.000,00 €;03/12/2013;Valladolid;Castilla y León;;;;;;
3572;BATTU GLOBAL DESIGN, S.L.;BATTU GLOBAL DESIGN;50.000,00 €;12/12/2013;Valladolid;Castilla y León;B47692462;;;;;
3573;MYTRIPLEA FINANCIACION PFP, S.L.;TUTRIPLEA FINANCE PFP (antigua TUTRIPLEA FINANCE, ;60.000,00 €;04/03/2014;Soria;Castilla y León;B42206037;;;;;
3574;MYTRIPLEA FINANCIACION PFP, S.L.;TUTRIPLEA FINANCE PFP (antigua TUTRIPLEA FINANCE, ;60.000,00 €;04/03/2014;Soria;Castilla y León;B42206037;;;;;
3575;AUGMENTED REALITY SOFTWARE, S.L.;ARSOFT;40.000,00 €;04/12/2014;Salamanca;Castilla y León;B37525243;;;;;
3576;GRENOUCERIE, S.L.U.;GRENOUCERIE;50.000,00 €;06/10/2015;Zamora;Castilla y León;;;;;;
3577;RIVEKIDS TECHNOLOGY, S.L.;RiveKids;60.000,00 €;10/12/2015;Valladolid;Castilla y León;B47743844;;;;;
3578;RIVEKIDS TECHNOLOGY, S.L.;RiveKids;60.000,00 €;10/12/2015;Valladolid;Castilla y León;B47743844;;;;;
3579;THE BRITE SHOE COMPANY, S.L.;BriteShoes;40.000,00 €;03/03/2016;Salamanca;Castilla y León;B37542420;;;;;
3580;QUE COCINO HOY WEB, S.L.;QUE COCINO HOY;50.000,00 €;07/07/2016;Valladolid;Castilla y León;B47727540;;;;;
3581;EMV CONSULTORES, S.L.;EMV CONSULTORES, SL;27.000,00 €;10/04/2014;Salamanca;Castilla y León;B37492295;;;;;
3582;PROESMADERA, S.A.;PROESMADERA;400.000,00 €;02/12/2005;Burgos;Castilla y León;A84031210;;;;;
3583;UESMADERA, S.A.;UESMADERA;400.000,00 €;02/12/2005;Burgos;Castilla y León;A84031244;;;;;
3584;MOVIROBOTICS, S.L.;MOVIROBOTICS;100.000,00 €;26/03/2008;Albacete;Castilla - La Mancha;B02415453;;;;;
3585;NOGUERA TECNOLOGÍAS, S.L.;NTEC;125.000,00 €;08/10/2008;Albacete;Castilla - La Mancha;;;;;;
3586;SYNERPLUS, S.L.L.;SYNERPLUS;100.000,00 €;22/07/2010;Ciudad Real;Castilla - La Mancha;;;;;;
3587;NUEVO URBANISMO Y CALIDAD DE VIDA, S.L.;NUCAVI;200.000,00 €;19/01/2011;Albacete;Castilla - La Mancha;B97322671;;;;;
3588;ENGINEERED FIRE PIPING, S.L.;ENGINEERED FIRE PIPING;300.000,00 €;19/12/2011;Toledo;Castilla - La Mancha;B45762119;;;;;
3589;JOBSSY, S.L.;JOBSSY;150.000,00 €;14/12/2012;Cuenca;Castilla - La Mancha;B16289555;;;;;
3590;JOBSSY, S.L.;JOBSSY;150.000,00 €;14/12/2012;Cuenca;Castilla - La Mancha;B16289555;;;;;
3591;PLANETA SOCIAL, S.L.;AMATTEUR;50.000,00 €;05/02/2015;Albacete;Castilla - La Mancha;B02530947;;;;;
3592;GESTION ENERGETICA ON CLOUD, S.L.;GESTION ENERGETICA ON CLOUD;40.000,00 €;12/01/2016;Albacete;Castilla - La Mancha;B02569499;;;;;
3593;NEMESIS VENTURES, S.L.;Nemesis Ventures;100.000,00 €;14/01/2016;Guadalajara;Castilla - La Mancha;B19306745;;;;;
3594;LABORATORIOS ANUR, S.L.;LABORATORIOS ANUR;400.000,00 €;02/10/2006;Ciudad Real;Castilla - La Mancha;B63570550;;;;;
