;Razón Social;Marca;Importe;Fecha;Provincia;CCAA;CIF;Axesor URL;Dirección;Constitución;CNAE;SIC
109;PULPO SOFTWARE, S.L.;Pulpo;67.000,00 €;12/11/2020;Valencia/València;Comunitat Valenciana;B40631079;;;;;
110;ENJOY TECH, S.L.;Enjoyers;69.000,00 €;11/11/2020;Cáceres;Extremadura;B10492536;;;;;
111;STREAMION, S.L.;Streamion;68.000,00 €;30/10/2020;Valencia/València;Comunitat Valenciana;B40617276;;;;;
112;MEETOPTICS LABS, S.L.;MEETOPTICS;68.000,00 €;30/10/2020;Barcelona;Cataluña;B67427294;;;;;
113;BUMERANG TAKEAWAY, S.L.;YOU BUMERANG;68.000,00 €;23/10/2020;Barcelona;Cataluña;B67587451;;;;;
114;MASENTI ESPACIO NATURAL, S.L.;Masentí;67.000,00 €;22/10/2020;Barcelona;Cataluña;B67208017;;;;;
115;BUZOME, S.L.;BUZOME;68.000,00 €;21/10/2020;Madrid;Madrid, Comunidad de;B88605555;;;;;
116;IMPERIA SCM CONSULTING, S.L.;Imperia SCM;30.000,00 €;19/10/2020;Valencia/València;Comunitat Valenciana;B40554891;;;;;
117;EDUCADVISOR, S.L.;micole;67.000,00 €;15/10/2020;Madrid;Madrid, Comunidad de;B88552732;;;;;
118;3DIGITAL FACTORY LEAN SOLUTIONS, S.L.;3DIGITAL FACTORY;68.000,00 €;13/10/2020;Barcelona;Cataluña;B67513168;;;;;
119;COCO POSITIVO, S.L.;El Coco;67.000,00 €;13/10/2020;Barcelona;Cataluña;B67411926;;;;;
120;SHAKERS GLOBAL SOLUTIONS, S.L.;SHAKERS;68.000,00 €;08/10/2020;Madrid;Madrid, Comunidad de;B88235130;;;;;
121;RHINO ELECTRIC MOTORS, S.L.;Velca;68.000,00 €;08/10/2020;Madrid;Madrid, Comunidad de;B88517784;;;;;
122;STUDENT BUDGET, S.L.;Student Guru;67.000,00 €;08/10/2020;Madrid;Madrid, Comunidad de;B88325311;;;;;
123;PIXIWORLD, S.L.;PIXITOUR;69.000,00 €;08/10/2020;Sevilla;Andalucía;B90432063;;;;;
124;RED DE ASESORAMIENTO EMPRESARIAL ENZIMUM, S.L.U.;ENZIMUM;64.000,00 €;08/10/2020;Alicante/Alacant;Comunitat Valenciana;;;;;;
125;PATRONUM VENTURES, S.L.;PATRONUM;69.000,00 €;08/10/2020;Madrid;Madrid, Comunidad de;B88215876;;;;;
126;BCOME CERTIFIED, S.L.;BCOME;68.000,00 €;06/10/2020;Barcelona;Cataluña;B67452730;;;;;
127;BECRIT NUTRITION, S.L.;BECRIT;68.000,00 €;06/10/2020;Barcelona;Cataluña;B67512483;;;;;
128;RECLAMADATOS, S.L.;Reclamadatos;67.000,00 €;22/09/2020;Barcelona;Cataluña;B67236026;;;;;
129;GRUPO TASFOR MARKETING Y PUBLICIDAD, S.L.U.;GRUPO TASFOR;40.000,00 €;22/09/2020;Sevilla;Andalucía;;;;;;
130;IBERBOX SECURE SERVICES, S.L.;IBERBOX;67.000,00 €;16/09/2020;Salamanca;Castilla y León;B37579919;;;;;
131;TARUGA CREACIONES, S.L.;TARUGA;65.000,00 €;15/09/2020;Murcia;Murcia, Región de;B05512132;;;;;
132;TEAPICAL COMPANY, S.L.;Teapical;68.000,00 €;15/09/2020;Barcelona;Cataluña;B67511279;;;;;
133;SMILE2IMPRESS, S.L.U.;Smile2Impress;210.000,00 €;18/12/2020;Barcelona;Cataluña;;;;;;
134;KELISTO IBERIA, S.L.;Kelisto;533.707,00 €;17/12/2020;Madrid;Madrid, Comunidad de;B86746161;;;;;
135;KELISTO IBERIA, S.L.;Kelisto;533.707,00 €;17/12/2020;Madrid;Madrid, Comunidad de;B86746161;;;;;
136;VOLAVA, S.L.;VOLAVA;300.000,00 €;17/12/2020;Barcelona;Cataluña;B67087718;;;;;
137;NESPRA, S.L.;Nespra;150.000,00 €;17/12/2020;Castellón/Castelló;Comunitat Valenciana;B98796949;;;;;
138;INDUSTRIES SOSTENIBLES KARIBOU, S.L.;Karibou;225.000,00 €;17/12/2020;Barcelona;Cataluña;B67498147;;;;;
139;FACTOR ESTETIC, S.L.;Dermclar;280.000,00 €;17/12/2020;Barcelona;Cataluña;B62411855;;;;;
140;DEPENCARE, S.L.;DEPENCARE;95.000,00 €;17/12/2020;Madrid;Madrid, Comunidad de;B87936605;;;;;
141;BLOOBIRDS, S.L.;BLOOBIRDS;210.000,00 €;17/12/2020;Barcelona;Cataluña;B67294611;;;;;
142;MORENO DEL OLMO, S.L.;MORENO DEL OLMO;202.000,00 €;16/12/2020;Barcelona;Cataluña;B60299245;;;;;
143;SMART MOBILITY SERVICES SPAIN, S.L.;Flit2go;62.000,00 €;16/12/2020;Valencia/València;Comunitat Valenciana;B40537276;;;;;
144;SMART MOBILITY SERVICES SPAIN, S.L.;Flit2go;62.000,00 €;16/12/2020;Valencia/València;Comunitat Valenciana;B40537276;;;;;
145;CALIMA TECHNOLOGIES, S.L.;Calima Technologies;75.000,00 €;16/12/2020;Madrid;Madrid, Comunidad de;B55372262;;;;;
146;GOXO CITY, S.L.;GOXO;233.000,00 €;16/12/2020;Madrid;Madrid, Comunidad de;B87893566;;;;;
147;GOXO CITY, S.L.;GOXO;233.000,00 €;16/12/2020;Madrid;Madrid, Comunidad de;B87893566;;;;;
148;NETING APP, S.L.;NETING;100.000,00 €;16/12/2020;Murcia;Murcia, Región de;B05539077;;;;;
149;PETPLAN IBERICA, S.L.;Petplan;90.000,00 €;16/12/2020;Sevilla;Andalucía;B90057431;;;;;
150;PETPLAN IBERICA, S.L.;Petplan;90.000,00 €;16/12/2020;Sevilla;Andalucía;B90057431;;;;;
151;LOCK UP SMART DOORS, S.L.;LOCK UP;300.000,00 €;16/12/2020;Murcia;Murcia, Región de;B73849275;;;;;
152;LOCK UP SMART DOORS, S.L.;LOCK UP;300.000,00 €;16/12/2020;Murcia;Murcia, Región de;B73849275;;;;;
153;IMPACT DATA SOLUTIONS, S.L.;Finutive;200.000,00 €;16/12/2020;Madrid;Madrid, Comunidad de;B87768925;;;;;
154;IMPACT DATA SOLUTIONS, S.L.;Finutive;200.000,00 €;16/12/2020;Madrid;Madrid, Comunidad de;B87768925;;;;;
155;DEGAYCAN, S.L.U.;Fochert;95.000,00 €;16/12/2020;Zaragoza;Aragón;;;;;;
156;TECMEC-TF 2014, S.L.;TECMEC;114.000,00 €;15/12/2020;Barcelona;Cataluña;B66173600;;;;;
157;EVOLUTION CONSTRUCTION SYSTEM, S.L.U.;EVOCONS;93.000,00 €;14/12/2020;Palmas, Las;Canarias;;;;;;
158;CITY JOB OFFERS, S.L.;CITY JOB OFFERS;121.000,00 €;11/12/2020;Barcelona;Cataluña;B67082594;;;;;
159;HWS CONCRETE TOWERS, S.L.;HWS;180.000,00 €;11/12/2020;Guipuzkoa;País Vasco;B75141788;;;;;
160;STUDIO ITINERANTE ARQUITECTURA, S.L.;SIARQ Advanced Solar Design;250.000,00 €;11/12/2020;Barcelona;Cataluña;B63067565;;;;;
161;CREATIVE HUB, S.L.;Buoq on;60.000,00 €;10/12/2020;Barcelona;Cataluña;B67471185;;;;;
162;SISTEMAS DE AUTOMATIZACIÓN INDUSTRIAL, S.L.;SAINDU;243.000,00 €;10/12/2020;Madrid;Madrid, Comunidad de;;;;;;
163;SHARIFYAPP LABS, S.L.;Sharify;131.000,00 €;10/12/2020;Barcelona;Cataluña;B67112771;;;;;
164;SHARIFYAPP LABS, S.L.;Sharify;131.000,00 €;10/12/2020;Barcelona;Cataluña;B67112771;;;;;
165;RACETICK, S.L.;RACETICK;170.000,00 €;10/12/2020;Barcelona;Cataluña;B67140822;;;;;
166;RACETICK, S.L.;RACETICK;170.000,00 €;10/12/2020;Barcelona;Cataluña;B67140822;;;;;
167;KARIKREA, S.L.;Ossby;180.000,00 €;10/12/2020;Madrid;Madrid, Comunidad de;B86329893;;;;;
168;JOIN QOALA, S.L.;joinqoala;140.000,00 €;10/12/2020;Madrid;Madrid, Comunidad de;B88565171;;;;;
169;ETOSHI TECHNOLOGIES, S.L.;ETOSHI;195.000,00 €;10/12/2020;Madrid;Madrid, Comunidad de;B88388046;;;;;
170;EMPLEADUR, S.L.;Empleada en casa;100.000,00 €;10/12/2020;Madrid;Madrid, Comunidad de;B87846119;;;;;
171;YAMA MAGIC SERVICE, S.L.;EUPIAOPIAO;200.000,00 €;09/12/2020;Barcelona;Cataluña;B67117473;;;;;
172;YAMA MAGIC SERVICE, S.L.;EUPIAOPIAO;200.000,00 €;09/12/2020;Barcelona;Cataluña;B67117473;;;;;
173;THE DREAM VR IBERICA, S.L.;THE DREAM VR;250.000,00 €;04/12/2020;Barcelona;Cataluña;B66354150;;;;;
174;NEW WELLNESS CONCEPT, S.L.;MYHIXEL;175.000,00 €;04/12/2020;Sevilla;Andalucía;B90344813;;;;;
175;NEW WELLNESS CONCEPT, S.L.;MYHIXEL;175.000,00 €;04/12/2020;Sevilla;Andalucía;B90344813;;;;;
176;HOLIDAY TELECOM, S.L.;HOLIDAY TELECOM;300.000,00 €;04/12/2020;Araba/Álava;País Vasco;B95835013;;;;;
177;HIPOO DIGITAL LOANS, S.L.;Hipoo;250.000,00 €;04/12/2020;Madrid;Madrid, Comunidad de;B87899597;;;;;
178;BROOMX TECHNOLOGIES, S.L.;BROOMX;300.000,00 €;04/12/2020;Barcelona;Cataluña;B66432113;;;;;
179;PRODUCTOS AGRÍCOLAS MACASA, S.L.;PRODUCTOS AGRÍCOLAS MACASA;300.000,00 €;02/12/2020;Barcelona;Cataluña;;;;;;
180;MOTLLURES VIDAL, S.L.;MOVISA;300.000,00 €;01/12/2020;Barcelona;Cataluña;B58418146;;;;;
