;Razón Social;Marca;Importe;Fecha;Provincia;CC.AA.
72;ULTIMATE GAMERS, S.L.;Ultimate Gamers;68.000,00 €;15/12/2020;Barcelona;Cataluña
73;PROFES EN APUROS, S.L.;Dos profes en apuros;63.000,00 €;15/12/2020;Barcelona;Cataluña
74;PENTACREDIT MARKETING, S.L.;Pentacredit;50.000,00 €;11/12/2020;Valencia/València;Comunitat Valenciana
75;SINGULARITY BIOMED, S.L.;Singularity Biomed;51.000,00 €;11/12/2020;Barcelona;Cataluña
76;JACAR ENGLISH, S.L.;Great Little People;67.000,00 €;10/12/2020;Madrid;Madrid, Comunidad de
77;PROTE CORP, S.L.;PROTE;68.000,00 €;10/12/2020;Madrid;Madrid, Comunidad de
78;PARENTING ONLINE, S.L.;AMA CLINICS;68.000,00 €;10/12/2020;Madrid;Madrid, Comunidad de
79;INVIERTIS PROPERTIES, S.L.;INVIERTIS;62.000,00 €;10/12/2020;Barcelona;Cataluña
80;NEXT GEN CAPITAL, S.L.;NEXT GEN;45.000,00 €;04/12/2020;Madrid;Madrid, Comunidad de
81;FOOD STORIES, S.L.;FOOD STORIES;67.000,00 €;04/12/2020;Madrid;Madrid, Comunidad de
82;HEDYLA TECHNOLOGIES, S.L.;HEDYLA;33.000,00 €;02/12/2020;Barcelona;Cataluña
83;SYRA COFFEE, S.L.;Syra Coffee;70.000,00 €;30/11/2020;Barcelona;Cataluña
84;LA CAFE ORIGINAL, S.L.;LA CAFE ORIGINAL;64.000,00 €;27/11/2020;Barcelona;Cataluña
85;GLAMPING LA DEHESA, S.L.;Glamping La Dehesa;60.000,00 €;24/11/2020;Córdoba;Andalucía
86;ODISEI MUSIC, S.L.;TRAVEL SAX;32.000,00 €;24/11/2020;Barcelona;Cataluña
87;PORTER DELIVERY & MOVING, S.L.;PORTER;67.000,00 €;19/11/2020;Madrid;Madrid, Comunidad de
88;ICOMMUNITY LABS & TECH, S.L.;iCommunity Labs;68.000,00 €;17/11/2020;Madrid;Madrid, Comunidad de
89;COMOVITA EUROPE, S.L.;Comovita;48.000,00 €;16/11/2020;Barcelona;Cataluña
90;SERVIPYME NEWTECH, S.L.;Servipyme;62.000,00 €;16/11/2020;Valencia/València;Comunitat Valenciana
91;PULPO SOFTWARE, S.L.;Pulpo;67.000,00 €;12/11/2020;Valencia/València;Comunitat Valenciana
92;ENJOY TECH, S.L.;Enjoyers;69.000,00 €;11/11/2020;Cáceres;Extremadura
93;STREAMION, S.L.;Streamion;68.000,00 €;30/10/2020;Valencia/València;Comunitat Valenciana
94;MEETOPTICS LABS, S.L.;MEETOPTICS;68.000,00 €;30/10/2020;Barcelona;Cataluña
95;BUMERANG TAKEAWAY, S.L.;YOU BUMERANG;68.000,00 €;23/10/2020;Barcelona;Cataluña
96;MASENTI ESPACIO NATURAL, S.L.;Masentí;67.000,00 €;22/10/2020;Barcelona;Cataluña
97;BUZOME, S.L.;BUZOME;68.000,00 €;21/10/2020;Madrid;Madrid, Comunidad de
98;IMPERIA SCM CONSULTING, S.L.;Imperia SCM;30.000,00 €;19/10/2020;Valencia/València;Comunitat Valenciana
99;EDUCADVISOR, S.L.;micole;67.000,00 €;15/10/2020;Madrid;Madrid, Comunidad de
100;3DIGITAL FACTORY LEAN SOLUTIONS, S.L.;3DIGITAL FACTORY;68.000,00 €;13/10/2020;Barcelona;Cataluña
101;COCO POSITIVO, S.L.;El Coco;67.000,00 €;13/10/2020;Barcelona;Cataluña
102;SHAKERS GLOBAL SOLUTIONS, S.L.;SHAKERS;68.000,00 €;08/10/2020;Madrid;Madrid, Comunidad de
103;RHINO ELECTRIC MOTORS, S.L.;Velca;68.000,00 €;08/10/2020;Madrid;Madrid, Comunidad de
104;STUDENT BUDGET, S.L.;Student Guru;67.000,00 €;08/10/2020;Madrid;Madrid, Comunidad de
105;PIXIWORLD, S.L.;PIXITOUR;69.000,00 €;08/10/2020;Sevilla;Andalucía
106;RED DE ASESORAMIENTO EMPRESARIAL ENZIMUM, S.L.U.;ENZIMUM;64.000,00 €;08/10/2020;Alicante/Alacant;Comunitat Valenciana
107;PATRONUM VENTURES, S.L.;PATRONUM;69.000,00 €;08/10/2020;Madrid;Madrid, Comunidad de
108;BCOME CERTIFIED, S.L.;BCOME;68.000,00 €;06/10/2020;Barcelona;Cataluña
109;BECRIT NUTRITION, S.L.;BECRIT;68.000,00 €;06/10/2020;Barcelona;Cataluña
110;RECLAMADATOS, S.L.;Reclamadatos;67.000,00 €;22/09/2020;Barcelona;Cataluña
111;GRUPO TASFOR MARKETING Y PUBLICIDAD, S.L.U.;GRUPO TASFOR;40.000,00 €;22/09/2020;Sevilla;Andalucía
112;IBERBOX SECURE SERVICES, S.L.;IBERBOX;67.000,00 €;16/09/2020;Salamanca;Castilla y León
113;TARUGA CREACIONES, S.L.;TARUGA;65.000,00 €;15/09/2020;Murcia;Murcia, Región de
114;TEAPICAL COMPANY, S.L.;Teapical;68.000,00 €;15/09/2020;Barcelona;Cataluña
115;SMILE2IMPRESS, S.L.U.;Smile2Impress;210.000,00 €;18/12/2020;Barcelona;Cataluña
116;KELISTO IBERIA, S.L.;Kelisto;533.707,00 €;17/12/2020;Madrid;Madrid, Comunidad de
117;VOLAVA, S.L.;VOLAVA;300.000,00 €;17/12/2020;Barcelona;Cataluña
118;NESPRA, S.L.;Nespra;150.000,00 €;17/12/2020;Castellón/Castelló;Comunitat Valenciana
119;INDUSTRIES SOSTENIBLES KARIBOU, S.L.;Karibou;225.000,00 €;17/12/2020;Barcelona;Cataluña
